rownums,date,DOY,site,analysis,count
1,6/5/2017,156,ODNR 4,LAB CHL,44.19
2,6/5/2017,156,ODNR 6,LAB CHL,58.26333333
3,6/5/2017,156,Bridge,LAB CHL,30.47333333
4,6/5/2017,156,ODNR 2,LAB CHL,48.04666667
5,6/5/2017,156,Buoy 2,LAB CHL,20.69333333
6,6/5/2017,156,ODNR 1,LAB CHL,49.42333333
7,6/5/2017,156,EC 1163,LAB CHL,22.75666667
8,6/5/2017,156,Bells,LAB CHL,5.83
9,6/19/2017,170,ODNR 4,LAB CHL,81.935
10,6/19/2017,170,ODNR 6,LAB CHL,31.525
11,6/19/2017,170,Bridge,LAB CHL,37.82
12,6/19/2017,170,ODNR 2,LAB CHL,39.21
13,6/19/2017,170,Buoy 2,LAB CHL,30.85666667
14,6/19/2017,170,ODNR 1,LAB CHL,52.55
15,6/19/2017,170,EC 1163,LAB CHL,12.05
16,6/19/2017,170,Bells,LAB CHL,23.62333333
17,6/21/2017,172,ODNR 4,LAB CHL,NA
18,6/21/2017,172,ODNR 6,LAB CHL,NA
19,6/21/2017,172,Bridge,LAB CHL,NA
20,6/21/2017,172,ODNR 2,LAB CHL,NA
21,6/21/2017,172,Buoy 2,LAB CHL,41.01333333
22,6/21/2017,172,ODNR 1,LAB CHL,NA
23,6/21/2017,172,EC 1163,LAB CHL,18.12666667
24,6/21/2017,172,Bells,LAB CHL,NA
25,6/26/2017,177,ODNR 4,LAB CHL,76.37333333
26,6/26/2017,177,ODNR 6,LAB CHL,88.74666667
27,6/26/2017,177,Bridge,LAB CHL,70.37666667
28,6/26/2017,177,ODNR 2,LAB CHL,60.69333333
29,6/26/2017,177,Buoy 2,LAB CHL,42.37
30,6/26/2017,177,ODNR 1,LAB CHL,36.58333333
31,6/26/2017,177,EC 1163,LAB CHL,23.91666667
32,6/26/2017,177,Bells,LAB CHL,44.79
33,7/17/2017,198,ODNR 4,LAB CHL,7.37
34,7/17/2017,198,ODNR 6,LAB CHL,8.153333333
35,7/17/2017,198,Bridge,LAB CHL,120.55
36,7/17/2017,198,ODNR 2,LAB CHL,96.22666667
37,7/17/2017,198,Buoy 2,LAB CHL,155.7533333
38,7/17/2017,198,ODNR 1,LAB CHL,130.2366667
39,7/17/2017,198,EC 1163,LAB CHL,108.7533333
40,7/17/2017,198,Bells,LAB CHL,15.92
41,7/31/2017,212,ODNR 4,LAB CHL,166.6666667
42,7/31/2017,212,ODNR 6,LAB CHL,172.2933333
43,7/31/2017,212,Bridge,LAB CHL,129.8833333
44,7/31/2017,212,ODNR 2,LAB CHL,137.5333333
45,7/31/2017,212,Buoy 2,LAB CHL,89.41366667
46,7/31/2017,212,ODNR 1,LAB CHL,65.00666667
47,7/31/2017,212,EC 1163,LAB CHL,58.54666667
48,7/31/2017,212,Bells,LAB CHL,13.08
49,8/14/2017,226,ODNR 4,LAB CHL,61.04333333
50,8/14/2017,226,ODNR 6,LAB CHL,59.40333333
51,8/14/2017,226,Bridge,LAB CHL,40.17666667
52,8/14/2017,226,ODNR 2,LAB CHL,57.92
53,8/14/2017,226,Buoy 2,LAB CHL,12.36
54,8/14/2017,226,ODNR 1,LAB CHL,56.11333333
55,8/14/2017,226,EC 1163,LAB CHL,50.13333333
56,8/14/2017,226,Bells,LAB CHL,11.23
57,8/28/2017,240,ODNR 4,LAB CHL,56.66666667
58,8/28/2017,240,ODNR 6,LAB CHL,59.50333333
59,8/28/2017,240,Bridge,LAB CHL,38.76666667
60,8/28/2017,240,ODNR 2,LAB CHL,31.25666667
61,8/28/2017,240,Buoy 2,LAB CHL,21.86
62,8/28/2017,240,ODNR 1,LAB CHL,40.52666667
63,8/28/2017,240,EC 1163,LAB CHL,40.24
64,8/28/2017,240,Bells,LAB CHL,14.91666667
65,6/8/2017,159,ODNR 4,FIELD Air Temperature,NA
66,6/8/2017,159,ODNR 4,FIELD Water Temperature,22.18
67,6/8/2017,159,ODNR 4,FIELD Dissolved Oxygen,2.18
68,6/8/2017,159,ODNR 4,FIELD Secchi,38
69,6/8/2017,159,ODNR 4,FIELD pH,10.82
70,6/8/2017,159,ODNR 4,FIELD Conductivity,430
71,6/8/2017,159,ODNR 6,FIELD Air Temperature,NA
72,6/8/2017,159,ODNR 6,FIELD Water Temperature,21.86
73,6/8/2017,159,ODNR 6,FIELD Dissolved Oxygen,2.24
74,6/8/2017,159,ODNR 6,FIELD Secchi,46.5
75,6/8/2017,159,ODNR 6,FIELD pH,11.02
76,6/8/2017,159,ODNR 6,FIELD Conductivity,400
77,6/8/2017,159,ODNR 2,FIELD Air Temperature,NA
78,6/8/2017,159,ODNR 2,FIELD Water Temperature,21.72
79,6/8/2017,159,ODNR 2,FIELD Dissolved Oxygen,2.2
80,6/8/2017,159,ODNR 2,FIELD Secchi,37
81,6/8/2017,159,ODNR 2,FIELD pH,11.08
82,6/8/2017,159,ODNR 2,FIELD Conductivity,390
83,6/8/2017,159,ODNR 1,FIELD Air Temperature,NA
84,6/8/2017,159,ODNR 1,FIELD Water Temperature,21.08
85,6/8/2017,159,ODNR 1,FIELD Dissolved Oxygen,2.15
86,6/8/2017,159,ODNR 1,FIELD Secchi,46
87,6/8/2017,159,ODNR 1,FIELD pH,11.02
88,6/8/2017,159,ODNR 1,FIELD Conductivity,370
89,6/8/2017,159,EC 1163,FIELD Air Temperature,NA
90,6/8/2017,159,EC 1163,FIELD Water Temperature,20.93
91,6/8/2017,159,EC 1163,FIELD Dissolved Oxygen,2.08
92,6/8/2017,159,EC 1163,FIELD Secchi,NA
93,6/8/2017,159,EC 1163,FIELD pH,10.86
94,6/8/2017,159,EC 1163,FIELD Conductivity,390
95,6/8/2017,159,Bells,FIELD Air Temperature,NA
96,6/8/2017,159,Bells,FIELD Water Temperature,NA
97,6/8/2017,159,Bells,FIELD Dissolved Oxygen,NA
98,6/8/2017,159,Bells,FIELD Secchi,NA
99,6/8/2017,159,Bells,FIELD pH,NA
100,6/8/2017,159,Bells,FIELD Conductivity,0
101,6/8/2017,159,Bridge,FIELD Air Temperature,NA
102,6/8/2017,159,Bridge,FIELD Water Temperature,NA
103,6/8/2017,159,Bridge,FIELD Dissolved Oxygen,NA
104,6/8/2017,159,Bridge,FIELD Secchi,NA
105,6/8/2017,159,Bridge,FIELD pH,NA
106,6/8/2017,159,Bridge,FIELD Conductivity,0
107,6/8/2017,159,Buoy 2,FIELD Air Temperature,NA
108,6/8/2017,159,Buoy 2,FIELD Water Temperature,NA
109,6/8/2017,159,Buoy 2,FIELD Dissolved Oxygen,NA
110,6/8/2017,159,Buoy 2,FIELD Secchi,NA
111,6/8/2017,159,Buoy 2,FIELD pH,NA
112,6/8/2017,159,Buoy 2,FIELD Conductivity,0
113,6/19/2017,170,ODNR 4,FIELD Air Temperature,NA
114,6/19/2017,170,ODNR 4,FIELD Water Temperature,25.04
115,6/19/2017,170,ODNR 4,FIELD Dissolved Oxygen,NA
116,6/19/2017,170,ODNR 4,FIELD Secchi,NA
117,6/19/2017,170,ODNR 4,FIELD pH,10.38
118,6/19/2017,170,ODNR 4,FIELD Conductivity,430
119,6/19/2017,170,ODNR 6,FIELD Air Temperature,NA
120,6/19/2017,170,ODNR 6,FIELD Water Temperature,24.91
121,6/19/2017,170,ODNR 6,FIELD Dissolved Oxygen,NA
122,6/19/2017,170,ODNR 6,FIELD Secchi,NA
123,6/19/2017,170,ODNR 6,FIELD pH,10.52
124,6/19/2017,170,ODNR 6,FIELD Conductivity,410
125,6/19/2017,170,ODNR 2,FIELD Air Temperature,NA
126,6/19/2017,170,ODNR 2,FIELD Water Temperature,24.94
127,6/19/2017,170,ODNR 2,FIELD Dissolved Oxygen,NA
128,6/19/2017,170,ODNR 2,FIELD Secchi,NA
129,6/19/2017,170,ODNR 2,FIELD pH,10.67
130,6/19/2017,170,ODNR 2,FIELD Conductivity,370
131,6/19/2017,170,ODNR 1,FIELD Air Temperature,NA
132,6/19/2017,170,ODNR 1,FIELD Water Temperature,25.18
133,6/19/2017,170,ODNR 1,FIELD Dissolved Oxygen,NA
134,6/19/2017,170,ODNR 1,FIELD Secchi,NA
135,6/19/2017,170,ODNR 1,FIELD pH,10.69
136,6/19/2017,170,ODNR 1,FIELD Conductivity,370
137,6/19/2017,170,EC 1163,FIELD Air Temperature,NA
138,6/19/2017,170,EC 1163,FIELD Water Temperature,23.65
139,6/19/2017,170,EC 1163,FIELD Dissolved Oxygen,NA
140,6/19/2017,170,EC 1163,FIELD Secchi,NA
141,6/19/2017,170,EC 1163,FIELD pH,10.48
142,6/19/2017,170,EC 1163,FIELD Conductivity,340
143,6/19/2017,170,Bells,FIELD Air Temperature,NA
144,6/19/2017,170,Bells,FIELD Water Temperature,22.01
145,6/19/2017,170,Bells,FIELD Dissolved Oxygen,NA
146,6/19/2017,170,Bells,FIELD Secchi,NA
147,6/19/2017,170,Bells,FIELD pH,10.03
148,6/19/2017,170,Bells,FIELD Conductivity,310
149,6/19/2017,170,Bridge,FIELD Air Temperature,NA
150,6/19/2017,170,Bridge,FIELD Water Temperature,25.04
151,6/19/2017,170,Bridge,FIELD Dissolved Oxygen,NA
152,6/19/2017,170,Bridge,FIELD Secchi,NA
153,6/19/2017,170,Bridge,FIELD pH,10.51
154,6/19/2017,170,Bridge,FIELD Conductivity,390
155,6/19/2017,170,Buoy 2,FIELD Air Temperature,NA
156,6/19/2017,170,Buoy 2,FIELD Water Temperature,24.12
157,6/19/2017,170,Buoy 2,FIELD Dissolved Oxygen,NA
158,6/19/2017,170,Buoy 2,FIELD Secchi,NA
159,6/19/2017,170,Buoy 2,FIELD pH,10.5
160,6/19/2017,170,Buoy 2,FIELD Conductivity,340
161,6/26/2017,177,ODNR 4,FIELD Air Temperature,22
162,6/26/2017,177,ODNR 4,FIELD Water Temperature,21.5
163,6/26/2017,177,ODNR 4,FIELD Dissolved Oxygen,NA
164,6/26/2017,177,ODNR 4,FIELD Secchi,32
165,6/26/2017,177,ODNR 4,FIELD pH,10.91
166,6/26/2017,177,ODNR 4,FIELD Conductivity,440
167,6/26/2017,177,ODNR 6,FIELD Air Temperature,21.7
168,6/26/2017,177,ODNR 6,FIELD Water Temperature,21.26
169,6/26/2017,177,ODNR 6,FIELD Dissolved Oxygen,NA
170,6/26/2017,177,ODNR 6,FIELD Secchi,40
171,6/26/2017,177,ODNR 6,FIELD pH,10.82
172,6/26/2017,177,ODNR 6,FIELD Conductivity,440
173,6/26/2017,177,ODNR 2,FIELD Air Temperature,21.8
174,6/26/2017,177,ODNR 2,FIELD Water Temperature,21.5
175,6/26/2017,177,ODNR 2,FIELD Dissolved Oxygen,NA
176,6/26/2017,177,ODNR 2,FIELD Secchi,32
177,6/26/2017,177,ODNR 2,FIELD pH,10.98
178,6/26/2017,177,ODNR 2,FIELD Conductivity,360
179,6/26/2017,177,ODNR 1,FIELD Air Temperature,21.8
180,6/26/2017,177,ODNR 1,FIELD Water Temperature,21.51
181,6/26/2017,177,ODNR 1,FIELD Dissolved Oxygen,NA
182,6/26/2017,177,ODNR 1,FIELD Secchi,NA
183,6/26/2017,177,ODNR 1,FIELD pH,11.04
184,6/26/2017,177,ODNR 1,FIELD Conductivity,340
185,6/26/2017,177,EC 1163,FIELD Air Temperature,21.2
186,6/26/2017,177,EC 1163,FIELD Water Temperature,20.79
187,6/26/2017,177,EC 1163,FIELD Dissolved Oxygen,NA
188,6/26/2017,177,EC 1163,FIELD Secchi,60
189,6/26/2017,177,EC 1163,FIELD pH,10.63
190,6/26/2017,177,EC 1163,FIELD Conductivity,310
191,6/26/2017,177,Bells,FIELD Air Temperature,20.7
192,6/26/2017,177,Bells,FIELD Water Temperature,20.38
193,6/26/2017,177,Bells,FIELD Dissolved Oxygen,NA
194,6/26/2017,177,Bells,FIELD Secchi,106
195,6/26/2017,177,Bells,FIELD pH,10.25
196,6/26/2017,177,Bells,FIELD Conductivity,290
197,6/26/2017,177,Bridge,FIELD Air Temperature,NA
198,6/26/2017,177,Bridge,FIELD Water Temperature,NA
199,6/26/2017,177,Bridge,FIELD Dissolved Oxygen,NA
200,6/26/2017,177,Bridge,FIELD Secchi,NA
201,6/26/2017,177,Bridge,FIELD pH,NA
202,6/26/2017,177,Bridge,FIELD Conductivity,0
203,6/26/2017,177,Buoy 2,FIELD Air Temperature,22.7
204,6/26/2017,177,Buoy 2,FIELD Water Temperature,21.48
205,6/26/2017,177,Buoy 2,FIELD Dissolved Oxygen,NA
206,6/26/2017,177,Buoy 2,FIELD Secchi,NA
207,6/26/2017,177,Buoy 2,FIELD pH,10.99
208,6/26/2017,177,Buoy 2,FIELD Conductivity,330
209,7/17/2017,198,ODNR 4,FIELD Air Temperature,NA
210,7/17/2017,198,ODNR 4,FIELD Water Temperature,23.44
211,7/17/2017,198,ODNR 4,FIELD Dissolved Oxygen,9.12
212,7/17/2017,198,ODNR 4,FIELD Secchi,NA
213,7/17/2017,198,ODNR 4,FIELD pH,8.88
214,7/17/2017,198,ODNR 4,FIELD Conductivity,230
215,7/17/2017,198,ODNR 6,FIELD Air Temperature,NA
216,7/17/2017,198,ODNR 6,FIELD Water Temperature,24.3
217,7/17/2017,198,ODNR 6,FIELD Dissolved Oxygen,7.89
218,7/17/2017,198,ODNR 6,FIELD Secchi,NA
